alpha,n,result
0.8076923076923077,91,1
0.8076923076923077,92,1
0.8076923076923077,93,1
0.8076923076923077,94,1
0.8076923076923077,95,1
0.8076923076923077,96,1
0.8076923076923077,97,1
0.8076923076923077,98,1
0.8076923076923077,99,1
0.8076923076923077,100,1
0.8076923076923077,101,1
0.8076923076923077,102,1
0.8076923076923077,103,1
0.8076923076923077,104,1
0.8076923076923077,105,1
0.8076923076923077,106,1
0.8076923076923077,107,1
0.8076923076923077,108,1
0.8076923076923077,109,1
0.8076923076923077,110,1
0.8076923076923077,111,1
0.8076923076923077,112,1
0.8076923076923077,113,1
0.8076923076923077,114,1
0.8076923076923077,115,1
0.8076923076923077,116,1
0.8076923076923077,117,1
0.8076923076923077,118,1
0.8076923076923077,119,1
0.8076923076923077,120,1
0.8076923076923077,121,1
0.8076923076923077,122,1
0.8076923076923077,123,1
0.8076923076923077,124,1
0.8076923076923077,125,1
0.8076923076923077,126,1
0.8076923076923077,127,1
0.8076923076923077,128,1
0.8076923076923077,129,1
0.8076923076923077,130,1
0.8076923076923077,131,1
0.8076923076923077,132,1
0.8076923076923077,133,1
0.8076923076923077,134,1
0.8076923076923077,135,1
0.8076923076923077,136,1
0.8076923076923077,137,1
0.8076923076923077,138,1
0.8076923076923077,139,1
0.8076923076923077,140,1
0.8076923076923077,141,1
0.8076923076923077,142,1
0.8076923076923077,143,1
0.8076923076923077,144,1
0.8076923076923077,145,1
0.8076923076923077,146,1
0.8076923076923077,147,1
0.8076923076923077,148,1
0.8076923076923077,149,1
0.8076923076923077,150,1
0.8076923076923077,151,1
0.8076923076923077,152,1
0.8076923076923077,153,1
0.8076923076923077,154,1
0.8076923076923077,155,1
0.8076923076923077,156,1
0.8076923076923077,157,1
0.8076923076923077,158,1
0.8076923076923077,159,1
0.8076923076923077,160,1
0.8076923076923077,161,1
0.8076923076923077,162,1
0.8076923076923077,163,1
0.8076923076923077,164,1
0.8076923076923077,165,1
0.8076923076923077,166,1
0.8076923076923077,167,1
0.8076923076923077,168,1
0.8076923076923077,169,1
0.8076923076923077,170,1
0.8076923076923077,171,1
